VisitorId,Time entered,Time spent (mins),Money spent (euros),Day
2026,6:08:47 PM,37,17.37,1
2068,6:11:54 PM,34,35.47,1
544,8:11:30 PM,73,41.72,1
2592,8:17:50 PM,18,11.18,1
2600,9:39:25 AM,37,35.95,1
4230,4:39:44 PM,55,27.13,1
3622,8:04:20 PM,82,15.16,1
3493,8:49:00 PM,69,37.91,1
4420,12:19:14 PM,12,26.93,1
4208,6:41:49 PM,115,31.05,1
724,5:39:32 PM,72,23.46,1
432,8:31:12 PM,86,29.23,1
4071,11:11:18 AM,20,35.91,1
2592,1:25:04 PM,34,46.13,1
2390,1:07:44 PM,35,48.68,1
1429,6:41:01 PM,81,39.48,1
471,8:01:13 PM,73,17.44,1
2622,2:35:47 PM,76,16.9,1
4581,2:06:26 PM,11,29.72,1
1896,10:44:05 AM,120,23.98,1
2638,12:00:36 PM,60,45.15,1
2162,11:51:17 AM,104,36.12,1
3810,11:41:16 AM,119,16.73,1
1673,3:08:10 PM,17,45.68,1
3398,9:10:01 AM,118,48.72,1
2690,10:45:15 AM,48,41.08,1
1304,5:31:59 PM,52,25.68,1
554,3:15:49 PM,24,26.22,1
2397,12:11:44 PM,119,37.52,1
1843,4:41:03 PM,35,39.29,1
2477,10:52:33 AM,88,36.39,1
2838,7:26:25 PM,90,25.5,1
4601,11:36:24 AM,57,45.67,1
143,1:26:03 PM,38,31.69,1
3093,10:59:40 AM,98,37.95,1
1632,11:19:14 AM,85,30.23,1
2573,1:49:41 PM,26,34.41,1
4974,8:41:28 PM,19,42.32,1
4975,6:24:24 PM,72,43.63,1
1868,5:28:16 PM,84,37.75,1
4278,2:37:41 PM,84,31.03,1
4020,3:16:59 PM,110,32.94,1
1121,7:38:25 PM,10,38.71,1
2080,12:09:25 PM,71,12.92,1
3092,1:14:47 PM,22,44.03,1
1057,3:37:25 PM,56,30.16,1
4590,9:50:46 AM,19,15.82,1
1715,12:07:53 PM,48,21.53,1
620,9:38:45 AM,44,29.09,1
2893,9:16:17 AM,112,22.3,1
2276,8:15:05 PM,12,34.55,1
3406,1:54:40 PM,30,41.35,1
3909,3:54:58 PM,23,28.02,1
4941,3:43:35 PM,38,31.76,1
3586,8:18:15 PM,98,15.09,1
2219,10:10:23 AM,64,15.46,1
4171,11:31:47 AM,80,42.71,1
2857,12:32:11 PM,118,31.34,1
16,12:33:04 PM,42,24.24,1
1500,5:40:28 PM,115,42.46,1
4183,12:35:16 PM,51,49.17,1
3098,11:33:00 AM,53,15.44,1
877,2:03:51 PM,30,15.85,1
2823,12:14:43 PM,73,38.76,1
3812,10:53:17 AM,63,45.31,1
766,2:06:41 PM,115,42.92,1
1207,10:00:10 AM,81,20.46,1
4392,2:18:21 PM,21,46.41,1
1475,5:43:45 PM,91,31.81,1
