VisitorId,Time entered,Time spent (mins),Money spent (euros),Day
561,6:03:59 PM,17,35.04,1
561,2:51:06 PM,210,29.89,2
561,11:04:47 AM,318,80.8,3
561,2:31:13 PM,413,97.94,4
561,9:10:26 AM,238,219.43,5
561,12:44:10 PM,453,288.54,6
2162,11:34:17 AM,96,30.25,1
2162,6:54:36 PM,61,58.64,2
2162,11:46:39 AM,66,94.33,3
2515,8:58:16 PM,32,34.76,1
2515,6:39:41 PM,46,91.79,2
2515,3:18:50 PM,342,121.0,3
2515,4:50:44 PM,461,86.01,4
2515,2:39:29 PM,312,189.9,5
2515,6:46:32 PM,669,108.93,6
2515,8:07:14 PM,469,333.16,7
2130,5:21:36 PM,85,39.63,1
2130,3:00:09 PM,62,66.31,2
2130,4:54:52 PM,350,42.19,3
2130,12:49:17 PM,256,99.04,4
4965,10:54:13 AM,97,48.6,1
4965,1:28:08 PM,148,33.35,2
4965,8:59:05 PM,186,37.83,3
4965,2:27:46 PM,288,106.62,4
4965,1:36:40 PM,207,243.05,5
2433,7:59:46 PM,93,49.84,1
2433,7:14:32 PM,135,29.74,2
488,1:47:24 PM,20,17.83,1
488,2:16:44 PM,175,37.36,2
488,3:12:18 PM,149,129.77,3
488,5:31:12 PM,142,175.08,4
2965,1:58:30 PM,27,18.37,1
2965,10:34:14 AM,219,51.42,2
3593,10:30:16 AM,101,35.17,1
3593,5:15:26 PM,204,50.22,2
2672,9:06:55 AM,71,37.48,1
2584,2:12:27 PM,29,33.61,1
2584,10:37:43 AM,167,64.4,2
2584,5:26:15 PM,216,92.5,3
2584,1:40:21 PM,433,111.14,4
2584,10:38:08 AM,515,136.02,5
2584,4:50:43 PM,617,217.29,6
3578,5:47:12 PM,103,48.16,1
3578,7:26:24 PM,159,43.83,2
3578,6:21:57 PM,84,148.14,3
3578,6:58:07 PM,65,76.05,4
3578,7:02:24 PM,345,224.09,5
3578,6:50:53 PM,454,171.21,6
2446,12:13:53 PM,20,42.63,1
2446,11:52:43 AM,36,88.63,2
